Step: -1 | Pos: [-0.7847313545892687, 1.2349218281999952] | Target: (4, 3)
Step: 0 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 1 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 2 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 3 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 4 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 5 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 6 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 7 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 8 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 9 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 10 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 11 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 12 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 13 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 14 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 15 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 16 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 17 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 18 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 19 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 0 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 1 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 2 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 3 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 4 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 5 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 6 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 7 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 8 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 9 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 10 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 11 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 12 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
Step: 13 | Pos: [-0.78473135  0.23492183] | Target: (4, 3)
